"","statename","year","mean_tot_pop_15to64","mean_jail_pop_15to64","mean_aapi_pop_15to64","mean_black_pop_15to64","mean_latinx_pop_15to64","mean_native_pop_15to64","mean_white_pop_15to64","mean_aapi_jail_pop","mean_black_jail_pop","mean_latinx_jail_pop","mean_native_jail_pop","mean_white_jail_pop","aapi_jail_prop","black_jail_prop","latinx_jail_prop","native_jail_prop","white_jail_prop"
"36","WA",2014,169014,444,16946,7719,19305,2683,122362,15,70,48,23,289,0.0337837837837838,0.157657657657658,0.108108108108108,0.0518018018018018,0.650900900900901
"37","WA",2015,171095,439,17776,7964,19985,2702,122668,13,65,52,21,260,0.0296127562642369,0.148063781321185,0.118451025056948,0.0478359908883827,0.592255125284738
"38","WA",2016,173603,440,18630,8250,20823,2718,123182,14,68,55,22,266,0.0318181818181818,0.154545454545455,0.125,0.05,0.604545454545454
"39","WA",2017,176008,448,19599,8548,21631,2739,123490,15,73,59,22,295,0.0334821428571429,0.162946428571429,0.131696428571429,0.0491071428571429,0.658482142857143
"40","WA",2018,177819,456,20608,8839,22369,2748,123256,14,71,45,23,290,0.0307017543859649,0.155701754385965,0.0986842105263158,0.0504385964912281,0.635964912280702
"41","AZ",1999,135936,469,3084,4519,32341,6828,89164,1,79,149,17,206,0.00213219616204691,0.168443496801706,0.317697228144989,0.0362473347547974,0.439232409381663
"42","AZ",2000,174351,552,4098,5681,43178,7842,113552,2,71,204,24,270,0.0036231884057971,0.128623188405797,0.369565217391304,0.0434782608695652,0.489130434782609
"43","AZ",2001,178634,594,4381,5955,45120,7953,115224,3,66,210,28,292,0.00505050505050505,0.111111111111111,0.353535353535354,0.0471380471380471,0.491582491582492
"44","AZ",2002,183275,663,4688,6249,47120,8110,117108,4,71,234,35,320,0.00603318250377074,0.107088989441931,0.352941176470588,0.052790346907994,0.482654600301659
"45","AZ",2003,187392,689,4974,6522,48887,8290,118720,4,75,247,36,348,0.0058055152394775,0.108853410740203,0.358490566037736,0.0522496371552975,0.505079825834543
"46","AZ",2004,192598,740,5299,6906,50868,8454,121070,5,85,277,39,368,0.00675675675675676,0.114864864864865,0.374324324324324,0.0527027027027027,0.497297297297297
"47","AZ",2005,200438,784,5780,7414,53825,8823,124595,4,90,308,44,368,0.00510204081632653,0.114795918367347,0.392857142857143,0.0561224489795918,0.469387755102041
"48","AZ",2006,207310,823,6338,7984,56656,9049,127284,4,91,321,48,349,0.00486026731470231,0.110571081409478,0.39003645200486,0.0583232077764277,0.424058323207776
"49","AZ",2007,211993,823,6757,8481,59061,9216,128478,4,88,342,53,334,0.00486026731470231,0.106925880923451,0.415552855407047,0.0643985419198056,0.405832320777643
"50","AZ",2008,215343,823,7105,8966,61015,9326,128931,7,93,349,52,332,0.00850546780072904,0.113001215066829,0.424058323207776,0.06318347509113,0.403402187120292
"51","AZ",2009,217175,827,7357,9376,62394,9365,128684,7,87,323,56,319,0.00846432889963724,0.105199516324063,0.390568319226119,0.0677146311970979,0.385731559854897
"52","AZ",2010,219105,740,7596,9664,63855,9429,128560,6,78,290,52,291,0.00810810810810811,0.105405405405405,0.391891891891892,0.0702702702702703,0.393243243243243
"53","AZ",2011,221404,699,7972,9957,65510,9561,128404,8,79,269,52,300,0.011444921316166,0.113018597997139,0.38483547925608,0.0743919885550787,0.429184549356223
"54","AZ",2012,223093,712,8329,10300,67161,9680,127622,8,86,274,55,327,0.0112359550561798,0.120786516853933,0.384831460674157,0.0772471910112359,0.459269662921348
"55","AZ",2013,224850,761,8716,10587,68810,9791,126945,7,94,262,50,320,0.00919842312746386,0.123521681997372,0.344283837056505,0.0657030223390276,0.420499342969777
"56","AZ",2014,227432,751,9135,10930,70694,9917,126756,8,97,262,52,347,0.0106524633821571,0.129161118508655,0.348868175765646,0.0692410119840213,0.462050599201065
"57","AZ",2015,230109,719,9464,11312,72741,10006,126586,7,94,193,49,316,0.00973574408901252,0.130737134909597,0.268428372739917,0.0681502086230876,0.439499304589708
"58","AZ",2016,233251,688,9907,11750,74734,10108,126751,6,96,159,51,354,0.00872093023255814,0.13953488372093,0.231104651162791,0.0741279069767442,0.51453488372093
"59","AZ",2017,235961,692,10204,12123,76711,10205,126718,5,104,166,55,365,0.00722543352601156,0.15028901734104,0.239884393063584,0.0794797687861272,0.527456647398844
"60","AZ",2018,239438,684,10522,12567,78818,10306,127223,6,101,154,53,362,0.0087719298245614,0.14766081871345,0.225146198830409,0.0774853801169591,0.529239766081871
"61","NM",1999,29180,149,233,477,11819,3277,13374,0,12,69,22,38,0,0.0805369127516778,0.463087248322148,0.147651006711409,0.25503355704698
"62","NM",2000,48852,238,655,930,20269,4114,22884,1,23,128,28,59,0.00420168067226891,0.0966386554621849,0.53781512605042,0.117647058823529,0.247899159663866
"63","NM",2001,49287,255,668,950,20713,4212,22743,6,18,136,33,57,0.0235294117647059,0.0705882352941176,0.533333333333333,0.129411764705882,0.223529411764706
"64","NM",2002,50160,278,704,977,21275,4308,22895,6,22,164,34,65,0.0215827338129496,0.079136690647482,0.589928057553957,0.122302158273381,0.233812949640288
"65","NM",2003,50950,312,739,997,21790,4395,23029,5,25,183,40,79,0.016025641025641,0.0801282051282051,0.586538461538462,0.128205128205128,0.253205128205128
"66","NM",2004,51844,341,775,1032,22284,4483,23270,4,25,203,37,77,0.0117302052785924,0.0733137829912024,0.595307917888563,0.108504398826979,0.225806451612903
"67","NM",2005,52721,351,811,1062,22853,4546,23450,1,23,223,35,75,0.00284900284900285,0.0655270655270655,0.635327635327635,0.0997150997150997,0.213675213675214
"68","NM",2006,53600,370,843,1092,23420,4592,23653,2,25,215,41,99,0.00540540540540541,0.0675675675675676,0.581081081081081,0.110810810810811,0.267567567567568
"69","NM",2007,54332,375,866,1123,24000,4632,23711,1,26,219,44,102,0.00266666666666667,0.0693333333333333,0.584,0.117333333333333,0.272
"70","NM",2008,54725,380,885,1131,24507,4678,23524,2,25,194,40,113,0.00526315789473684,0.0657894736842105,0.510526315789474,0.105263157894737,0.297368421052632
"71","NM",2009,55253,396,908,1166,24989,4731,23460,2,27,211,42,121,0.00505050505050505,0.0681818181818182,0.532828282828283,0.106060606060606,0.305555555555556
"72","NM",2010,55900,392,934,1206,25499,4775,23487,2,27,203,44,119,0.00510204081632653,0.0688775510204082,0.517857142857143,0.112244897959184,0.303571428571429
"73","NM",2011,56209,391,981,1220,25926,4819,23263,2,22,187,43,115,0.0051150895140665,0.0562659846547315,0.478260869565217,0.10997442455243,0.294117647058824
"74","NM",2012,56081,388,1012,1229,26207,4846,22786,2,18,175,49,98,0.00515463917525773,0.0463917525773196,0.451030927835052,0.126288659793814,0.252577319587629
"75","NM",2013,55951,384,1042,1247,26509,4885,22267,2,14,152,46,101,0.00520833333333333,0.0364583333333333,0.395833333333333,0.119791666666667,0.263020833333333
"76","NM",2014,55610,386,1042,1256,26693,4915,21704,2,14,148,47,102,0.00518134715025907,0.0362694300518135,0.383419689119171,0.121761658031088,0.264248704663212
"77","NM",2015,55345,364,1061,1265,26908,4956,21154,2,15,133,41,95,0.00549450549450549,0.0412087912087912,0.365384615384615,0.112637362637363,0.260989010989011
"78","NM",2016,55174,343,1075,1276,27119,4982,20722,2,16,152,38,100,0.00583090379008746,0.0466472303206997,0.443148688046647,0.110787172011662,0.291545189504373
"79","NM",2017,54910,321,1084,1285,27287,5000,20255,2,17,166,36,90,0.00623052959501558,0.0529595015576324,0.517133956386293,0.11214953271028,0.280373831775701
"80","NM",2018,54699,317,1096,1294,27506,4998,19805,1,18,151,35,110,0.00315457413249211,0.056782334384858,0.476340694006309,0.110410094637224,0.347003154574132
"81","TX",1999,437328,1784,14241,51811,128364,1737,241176,12,610,504,3,732,0.00672645739910314,0.341928251121076,0.282511210762332,0.00168161434977578,0.410313901345291
"82","TX",2000,494010,2230,16055,56988,154743,2034,264190,24,689,707,5,832,0.010762331838565,0.308968609865471,0.317040358744395,0.00224215246636771,0.373094170403587
"83","TX",2001,504188,2151,17055,58386,160647,2089,266010,20,626,690,6,820,0.00929800092980009,0.291027429102743,0.320781032078103,0.00278940027894003,0.381218038121804
"84","TX",2002,514114,2160,18049,59709,166750,2127,267478,19,657,749,7,832,0.0087962962962963,0.304166666666667,0.346759259259259,0.00324074074074074,0.385185185185185
"85","TX",2003,522644,2267,18958,60825,172579,2155,268128,21,660,768,9,885,0.00926334362593736,0.291133656815174,0.338773709748566,0.00397000441111601,0.390383767093075
"86","TX",2004,531938,2367,19829,62174,178306,2184,269444,19,696,777,9,926,0.0080270384452894,0.29404309252218,0.328263624841572,0.00380228136882129,0.391212505280946
"87","TX",2005,545216,2343,20830,64050,185035,2230,273070,14,730,677,8,903,0.00597524541186513,0.311566367904396,0.28894579598805,0.00341442594963722,0.385403329065301
"88","TX",2006,558900,2501,21989,67559,191921,2272,275159,18,764,778,7,970,0.00719712115153938,0.305477808876449,0.311075569772091,0.00279888044782087,0.387844862055178
"89","TX",2007,570219,2485,23162,68897,199127,2301,276732,15,741,782,8,924,0.00603621730382294,0.298189134808853,0.314688128772636,0.00321931589537223,0.371830985915493
"90","TX",2008,580878,2470,24299,70380,206222,2332,277646,16,752,803,8,905,0.00647773279352227,0.304453441295547,0.325101214574899,0.00323886639676113,0.366396761133603
"91","TX",2009,591889,2466,25455,71894,213328,2353,278859,17,746,809,6,901,0.00689375506893755,0.302514193025142,0.328061638280616,0.0024330900243309,0.36536901865369
"92","TX",2010,601958,2455,26548,73385,219737,2377,279912,17,772,831,7,905,0.00692464358452138,0.314460285132383,0.338492871690428,0.00285132382892057,0.368635437881874
"93","TX",2011,611493,2513,27655,74912,225514,2412,281000,18,735,831,6,884,0.00716275368085953,0.292479108635098,0.330680461599682,0.00238758456028651,0.351770791882212
"94","TX",2012,620560,2392,28988,76680,231268,2450,281173,19,647,837,6,884,0.00794314381270903,0.270484949832776,0.349916387959866,0.00250836120401338,0.369565217391304
"95","TX",2013,628735,2422,30344,78270,236691,2487,280944,22,589,846,6,955,0.00908340214698596,0.243187448389761,0.349298100743187,0.00247729149463253,0.394302229562345
"96","TX",2014,639280,2480,32102,80113,242661,2524,281881,21,643,896,6,897,0.00846774193548387,0.259274193548387,0.361290322580645,0.00241935483870968,0.361693548387097
"97","TX",2015,650586,2411,33942,82080,249192,2554,282818,21,632,809,6,938,0.00871007880547491,0.262131895479054,0.335545416839486,0.0024885939444214,0.389050186644546
"98","TX",2016,660274,2487,35620,83919,255461,2572,282701,22,659,865,7,968,0.00884599919581825,0.26497788500201,0.347808604744672,0.00281463610776035,0.389223964616003
"99","TX",2017,668074,2539,37153,85580,260995,2585,281761,24,697,871,7,973,0.0094525403702245,0.27451752658527,0.343048444269397,0.00275699094131548,0.383221740842852
"100","TX",2018,675688,2495,38659,87102,266521,2601,280806,15,704,877,6,906,0.00601202404809619,0.282164328657315,0.351503006012024,0.00240480961923848,0.36312625250501
"101","FL",1999,254362,1337,5723,33878,28458,944,185358,2,589,78,1,704,0.00149588631264024,0.44053851907255,0.0583395661929693,0.00074794315632012,0.526551982049364
"102","FL",2000,521372,2628,11537,78289,95842,1703,334000,5,1214,244,2,1160,0.00190258751902588,0.461948249619482,0.0928462709284627,0.00076103500761035,0.441400304414003
"103","FL",2001,544717,2734,12547,82937,101455,1853,345926,7,1284,251,3,1254,0.00256035113386979,0.469641550841258,0.0918068763716167,0.00109729334308705,0.458668617410388
"104","FL",2002,558590,2836,13360,85581,106966,1895,350787,9,1285,257,3,1386,0.00317348377997179,0.453102961918195,0.0906205923836389,0.00105782792665726,0.488716502115656
"105","FL",2003,571735,2961,14179,88235,112337,1932,355053,11,1326,269,3,1501,0.00371496116176967,0.447821681864235,0.0908476865923674,0.00101317122593718,0.506923336710571
"106","FL",2004,588486,3093,15150,91380,118482,1977,361496,12,1298,290,3,1649,0.00387972841901067,0.419657290656321,0.0937601034594245,0.000969932104752667,0.533139346912383
"107","FL",2005,611238,3292,16234,95124,126432,2067,371381,12,1393,326,3,1677,0.00364520048602673,0.42314702308627,0.0990279465370595,0.000911300121506683,0.509416767922236
"108","FL",2006,625355,3419,17181,98176,133302,2090,374607,12,1390,347,4,1776,0.00350979818660427,0.406551623281661,0.101491664229307,0.00116993272886809,0.519450131617432
"109","FL",2007,633034,3458,17885,100274,138800,2095,373981,13,1397,368,3,1804,0.0037593984962406,0.403990746096009,0.10641989589358,0.000867553499132446,0.521688837478311
"110","FL",2008,637161,3498,18431,102120,143512,2083,371014,11,1438,396,3,1769,0.00314465408805031,0.411092052601487,0.113207547169811,0.000857632933104631,0.505717552887364
"111","FL",2009,640581,3278,18916,103748,147669,2063,368185,11,1321,369,3,1599,0.00335570469798658,0.402989627821843,0.112568639414277,0.000915192190359976,0.487797437461867
"112","FL",2010,646617,3134,19434,105587,152202,2058,367335,11,1268,361,3,1579,0.00350989151244416,0.404594767070836,0.115188257817486,0.000957243139757498,0.50382897255903
"113","FL",2011,654871,3064,20093,108182,157167,2098,367331,11,1221,357,3,1543,0.00359007832898172,0.398498694516971,0.116514360313316,0.00097911227154047,0.503590078328982
"114","FL",2012,658571,3022,20646,110085,161565,2117,364158,10,1192,364,3,1524,0.00330906684315023,0.394440767703508,0.120450033090668,0.000992720052945069,0.504301786896095
"115","FL",2013,663452,2902,21177,111601,166786,2110,361779,9,1074,355,3,1338,0.0031013094417643,0.370089593383873,0.122329427980703,0.00103376981392143,0.461061337008959
"116","FL",2014,670610,2945,21773,113377,172173,2130,361158,12,1162,282,3,1543,0.00407470288624788,0.394567062818336,0.0957555178268251,0.00101867572156197,0.523938879456706
"117","FL",2015,680315,2860,22455,115300,178473,2150,361938,14,1107,358,3,1333,0.0048951048951049,0.387062937062937,0.125174825174825,0.00104895104895105,0.466083916083916
"118","FL",2016,691151,2792,23358,117259,185438,2166,362930,11,1008,350,3,1262,0.00393982808022923,0.361031518624642,0.125358166189112,0.00107449856733524,0.452005730659026
"119","FL",2017,699834,2834,24169,118965,191950,2179,362572,12,1056,360,3,1394,0.00423429781227946,0.372618207480593,0.127028934368384,0.00105857445306987,0.491884262526464
"120","FL",2018,707065,2886,24950,120311,198408,2171,361225,8,1049,359,2,1371,0.00277200277200277,0.363478863478863,0.124393624393624,0.000693000693000693,0.475051975051975
"121","OH",1999,262927,588,3686,29772,4652,695,224122,1,264,16,0,306,0.00170068027210884,0.448979591836735,0.0272108843537415,0,0.520408163265306
"122","OH",2000,263651,628,3894,30156,4957,720,223924,3,282,16,1,325,0.00477707006369427,0.449044585987261,0.0254777070063694,0.00159235668789809,0.517515923566879
"123","OH",2001,264841,623,4037,30591,5258,728,224227,3,269,20,1,343,0.00481540930979133,0.431781701444623,0.0321027287319422,0.00160513643659711,0.550561797752809
"124","OH",2002,266057,648,4220,31051,5547,731,224509,2,297,25,1,344,0.00308641975308642,0.458333333333333,0.0385802469135802,0.00154320987654321,0.530864197530864
"125","OH",2003,267295,666,4418,31516,5844,735,224782,2,296,19,1,359,0.003003003003003,0.444444444444444,0.0285285285285285,0.0015015015015015,0.539039039039039
"126","OH",2004,268374,700,4578,31966,6135,737,224958,3,306,18,1,375,0.00428571428571429,0.437142857142857,0.0257142857142857,0.00142857142857143,0.535714285714286
"127","OH",2005,270456,707,4750,32466,6473,740,226027,2,287,22,1,401,0.00282885431400283,0.405940594059406,0.0311173974540311,0.00141442715700141,0.567185289957567
"128","OH",2006,271339,709,4894,32976,6756,747,225966,4,298,25,1,407,0.00564174894217207,0.420310296191819,0.0352609308885755,0.00141043723554302,0.574047954866008
"129","OH",2007,271830,710,5034,33412,7081,748,225555,3,293,22,1,391,0.00422535211267606,0.412676056338028,0.0309859154929577,0.00140845070422535,0.550704225352113
"130","OH",2008,271851,712,5165,33807,7391,746,224742,3,302,25,1,398,0.00421348314606742,0.424157303370786,0.0351123595505618,0.00140449438202247,0.558988764044944
"131","OH",2009,272077,670,5294,34161,7686,742,224194,3,270,24,1,370,0.00447761194029851,0.402985074626866,0.0358208955223881,0.00149253731343284,0.552238805970149
"132","OH",2010,272373,654,5457,34486,7972,736,223722,3,266,33,1,369,0.00458715596330275,0.406727828746177,0.0504587155963303,0.00152905198776758,0.564220183486238
"133","OH",2011,272559,649,5645,34705,8228,741,223240,3,255,40,1,358,0.00462249614791988,0.392912172573189,0.061633281972265,0.00154083204930663,0.551617873651772
"134","OH",2012,271254,658,5878,34859,8488,737,221293,3,257,22,1,387,0.00455927051671732,0.390577507598784,0.033434650455927,0.00151975683890578,0.588145896656535
"135","OH",2013,271735,650,6219,35160,8795,745,220816,3,230,57,1,365,0.00461538461538462,0.353846153846154,0.0876923076923077,0.00153846153846154,0.561538461538462
